,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
CIE,0.8965003842547904,0.9050316315221558,0.9250165244720916,0.9367133201750383,0.9437913006775236,0.9443123766690077,0.9443375126842084,0.9590261140100769,0.96957122265049,0.9806544814243184,0.9947957836195308,1.0000000000000022
VNMA,0.906775946135097,0.9194224767208016,0.9343003619003722,0.94755258949013,0.9512280353353734,0.9532640037919446,0.955715390672265,0.9681406880675878,0.9728625911185851,0.9876077554626682,0.993801123721033,1.0000000000000018
PRS,0.41583270763594526,0.4359149393122017,0.6666759746248748,0.7282201276131676,0.857895155093618,0.8584523842942158,0.8655566130006459,0.9848982163939471,0.991454591812865,0.9929392173762092,0.9999987650455446,0.9999999999999994
PLI,0.01925845484205832,0.05227195332995827,0.38097994950279895,0.4414800773781532,0.9919735951175088,0.9919736595340396,0.9937788292557204,0.9972476904555082,0.9977889748595413,0.9994790226829589,0.9999999858305175,1.0000000000000016
RS,0.06318355959814172,0.09652223793524255,0.6344806177138901,0.8549420071698695,0.8868660788684709,0.9595505906800115,0.9729145283342887,0.9884997737199201,0.9898924805515809,0.9902015741741891,0.9999612054917292,1.0000000000000002
OLSM,0.6115668834840694,0.6157362017619462,0.6165436558003257,0.7887725135128036,0.7902194506802774,0.8312331173422078,0.8738685428672353,0.8758210439800683,0.9951705164660728,0.999959464655793,0.9999997377393032,1.0000000000000004
SV,0.4456241649764855,0.7672762429124491,0.9215036424621361,0.9272131783801332,0.9289121919677857,0.9289854175347474,0.9314972095842909,0.9405868238786061,0.94125717668608,0.9556156237536957,0.9999107785783834,0.9999999999999999
PSS,0.41122783162137466,0.5972598431294538,0.7299693434343897,0.7419884552079644,0.7871181111767306,0.8694726798558622,0.956525617341696,0.96163553897137,0.9739214305673205,0.9999720291070282,0.9999940924170082,0.9999999999999998
RAD,0.13881495268074648,0.3050159720902508,0.3402279664266102,0.8582995497412724,0.8951448254151563,0.9037152165123823,0.9043156534176355,0.9871037023966953,0.9970918273654812,0.9981287803094977,0.999996262181305,1.0000000000000013
PAD,0.7561147876453825,0.7724931431961208,0.7876680169849896,0.7879001287587212,0.7879008945058764,0.8770492170824485,0.8771183295887167,0.8782626864890304,0.9605078558039932,0.9966587721986856,0.9999866515822066,1.000000000000002
RC,0.06421696003945712,0.7408902208846322,0.7441510405734217,0.7976040016803054,0.8110575663883797,0.9000000415813042,0.9634745250743948,0.97281677671841,0.9729769397009159,0.9992861653399611,0.9999910578928999,1.0
OG,0.10786605784322592,0.7444238197662316,0.7605054992064749,0.7668816508609635,0.7669036298013453,0.8123520910615183,0.9657913299365962,0.9877679640911213,0.9943195738061632,0.9987190028669967,0.9999957035148213,0.9999999999999983
