,CIE,VNMA,PRS,PLI,RS,OLSM,SV,PSS,RAD,PAD,RC,OG
CIE,1.0,0.9851113856531842,-0.462450524664809,-0.09483593316667148,-0.1694457119016862,-0.7347731074804771,0.7028254759682305,0.5965816228430183,-0.21560447563001478,0.7871590259685181,-0.2775064831275546,-0.24200542254662763
VNMA,0.9851113856531841,1.0,-0.4912500908493691,-0.09224517404757773,-0.2008219361513902,-0.7369192074990067,0.7238620965168494,0.5993888528311949,-0.21415520062566532,0.7751268637886266,-0.2884597861235796,-0.21368264497887887
PRS,-0.462450524664809,-0.4912500908493691,1.0,0.20280112190696298,0.3860247843439275,0.38902448196350425,-0.38177665293567603,-0.17404418734317975,0.430867566835086,-0.5803096099332593,0.3398272429939848,0.06546476193026311
PLI,-0.09483593316667148,-0.09224517404757773,0.202801121906963,0.9999999999999999,0.16407746722075114,0.05068683109292993,0.02764566565095007,0.026068173336163913,0.10646233468002214,-0.15404421294561152,0.18569697075958672,-0.1288444605059893
RS,-0.1694457119016862,-0.2008219361513902,0.3860247843439275,0.16407746722075114,1.0,0.330834724031211,0.23372194703173743,0.02155092798289606,0.016973945279061833,-0.2666441422521128,-0.07412385608797538,0.09995462567651286
OLSM,-0.7347731074804771,-0.7369192074990066,0.38902448196350425,0.050686831092929936,0.330834724031211,1.0,-0.42703536541405424,-0.4088072518660273,0.07598858306571263,-0.6732665730589427,0.04889812312490402,0.2702680515448135
SV,0.7028254759682305,0.7238620965168493,-0.38177665293567603,0.02764566565095007,0.23372194703173746,-0.42703536541405424,1.0,0.33267733443073466,0.005326926599789036,0.4404732144773542,-0.5908534406746941,0.16754205245684128
PSS,0.5965816228430183,0.5993888528311948,-0.17404418734317975,0.026068173336163916,0.021550927982896064,-0.40880725186602734,0.3326773344307346,1.0,-0.3503106656760944,0.4793559503815627,0.18315573565010942,-0.5450422551626056
RAD,-0.21560447563001478,-0.21415520062566532,0.430867566835086,0.10646233468002214,0.016973945279061833,0.07598858306571263,0.005326926599789036,-0.3503106656760944,1.0,-0.37353693841956903,-0.05516384532416341,0.40580524328549894
PAD,0.7871590259685181,0.7751268637886265,-0.5803096099332593,-0.1540442129456115,-0.2666441422521128,-0.6732665730589427,0.4404732144773542,0.4793559503815627,-0.37353693841956903,1.0,-0.061216692842462846,-0.3281390995073294
RC,-0.2775064831275546,-0.2884597861235796,0.3398272429939848,0.18569697075958672,-0.07412385608797539,0.04889812312490402,-0.5908534406746941,0.18315573565010945,-0.0551638453241634,-0.06121669284246285,1.0,-0.4240552349158623
OG,-0.2420054225466276,-0.21368264497887887,0.06546476193026311,-0.1288444605059893,0.09995462567651286,0.27026805154481354,0.16754205245684128,-0.5450422551626056,0.40580524328549894,-0.3281390995073294,-0.4240552349158623,1.0
