,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
CIE,0.946837042079993,-0.09236475121693048,0.14136793465965258,0.10815172538127489,-0.08413073458900344,-0.022827088984013144,0.005013583070096912,0.12119654007383386,0.10268937939442986,-0.10527705720539719,-0.1189172073133757,-0.07214025492380383
VNMA,0.952247838608782,-0.11245679430654477,0.12197493668606955,0.11511831995715417,-0.06062545542297705,-0.04512170715488609,0.04951148230784814,0.1114688180403958,0.06871610474260917,-0.1214296683026149,-0.07869795587157812,0.07873294278107991
PRS,-0.6448509189230835,0.14171179088649052,0.48037593123789324,0.24808094039706619,-0.3601041897568681,-0.02360570271349265,-0.0842865867527575,0.34545854077342086,0.0809714481710547,0.03853083912068552,0.08402111442569331,0.0011112850466255802
PLI,-0.13877483504604976,0.18169617081243059,0.5733306168109642,0.245967737468462,0.7419525036950516,0.00025380411897459244,0.042487288942467664,0.05889703897300649,0.023265519638149348,0.04111019123547761,-0.0228246171393656,0.00011903564227652353
RS,-0.25136340146915126,-0.1825888231439724,0.7334564607245938,-0.46953316118883376,-0.17867308610588634,0.26960065246868486,-0.11560249847765937,-0.12484088026616703,-0.03731898754870914,0.0175810586316142,-0.09879084632464719,0.0062285237633841325
OLSM,-0.7820274186267828,-0.06457025846221195,0.02841573575291398,-0.41500464782033214,0.03803862730795852,-0.20251831191754094,0.20648347518633883,-0.044187114782853774,0.3454699299302394,-0.06920222676850975,-0.006346107744923355,0.0005121139494492663
SV,0.6675508707031139,-0.5671437894713859,0.39271796438371265,-0.07556147112118089,0.04121909251369511,-0.008557193871919517,0.05011778176998252,-0.09533946871215065,-0.025891172385078928,-0.11982673769912819,0.21046414142244685,-0.009445709164296195
PSS,0.6412704824185927,0.4313142839138059,0.3642931516031229,-0.10963170970834471,-0.2124374165931372,-0.28697485722469074,0.2950473478712084,-0.07148371583566404,-0.11084174121670261,0.161401978115845,-0.00469715977799189,-0.002430551993179377
RAD,-0.37257878721251225,-0.4076775924790377,0.18764859268419634,0.7197718967246931,-0.1919512325406738,-0.09257640680662638,-0.02450381409603835,-0.2877291243149706,0.09994060720640996,0.03220175374131917,-0.04321437112590282,0.0019333439157123117
PAD,0.8695486114331864,0.1279779494707516,-0.123186337671305,0.015235214922396583,-0.0008750698002400125,0.29857716352154623,-0.008313393186187328,-0.03382834462863501,0.2867841859569018,0.1901339432996968,0.057687774991942414,0.00365354865787262
RC,-0.25341065494461185,0.8226015200844058,0.057103587354819504,0.2311989643291761,-0.11598950257706205,0.2982322504239348,0.25194142869542246,-0.0966553239300107,-0.012655551450090475,-0.1622011887719852,0.026549812672387603,-0.002990335616639615
OG,-0.32842968477777085,-0.7978457005731157,-0.12681356173628805,0.07985080872783033,-0.0046881702594738185,0.2131864471775187,0.39171320998286224,0.148245182567681,-0.08094201452300175,0.06632819205159642,-0.03573094803982365,-0.002072796463024788
