Tara,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
Austria,0.033466872658005756,0.00119919451971298,0.011919629379031087,0.0021154971374913113,0.000545310445795177,0.005831156138964204,0.01712454249201929,0.003651920872164831,0.0025404783100014764,0.028250489755824247,0.0017685403546352566,0.00021680166641710485
Belgia,0.017094982646918857,0.0005695014752187626,0.0061300202443576625,0.0015994767336330305,0.007969503933359332,0.0044080487741044,0.0091406417672564,0.00022710038717172309,0.00020875638043708498,0.003586612135099762,0.008670810716706202,0.0070127988664252985
Bulgaria,0.09619027717039717,0.005500304536079701,0.004147832422567367,0.003668163290250589,0.030686262690577875,0.1917612457841762,0.06326858254750314,0.002218774166108517,0.0028521220733110563,0.0002178304990096515,0.059725204351090966,0.058651824179051106
Croatia,0.02009825195676617,0.0012790984189694034,0.005265319582296235,0.10837859961754687,0.0012828470382283432,0.06076294077154563,0.09539241225433179,0.05395565086308448,0.00013170493648679437,0.0120782755083687,0.049016909972203725,0.031094120315388742
Cipru,2.0043971065666403e-05,0.0006294320410654543,0.10644816199508317,0.020669306857678486,0.06939422638818893,0.049870819020595654,0.05777285823391546,0.013454261941523032,0.052868715268010125,0.0020452755384394007,0.00037637937290177037,4.588064844767887e-05
Cehia,0.004189599202800245,0.018017929452151884,0.18224651435686168,0.04271265838360879,0.017219492071215432,7.380270092092615e-05,0.022409029693062257,0.038671410571688256,1.4037673858229326e-05,0.0011407544290450438,0.005697330400057756,0.005811912305440429
Danemarca,0.09897751456818978,0.0012261252029480397,0.006196376517488793,0.009431233707897854,0.007667530325984908,0.018989680779750676,0.04226448633965743,0.0010819225108387122,0.005630249273538943,0.008485912984227914,0.12450655027889067,0.023286745977527147
Estonia,0.006546635741137904,0.03828322798741789,5.274521266345757e-05,0.009601115437868613,0.0353866134240054,0.0021818298272798667,0.011766240492540912,5.6126105940660125e-05,0.007423890225939012,0.14556280464961344,0.14238315817173153,0.017525315272861164
Finlanda,0.06029339416238187,0.006511652057914371,0.010887220950767027,0.01917883463442078,0.06473506015949981,0.0023421088516910327,0.007614231190299945,0.138442586709215,0.0133475760099946,0.012978326956550853,0.012165738633341514,0.010326641641501799
Franta,0.017062246293161696,0.0005297397476715761,0.0026928214850372944,0.005205999086885286,0.00011985901691690736,0.002996809036175687,0.0006276311041147429,0.043498155202340814,0.003647428129568919,0.1368600501393108,0.0018583965598270426,0.07168621155654972
Germania,0.020624051052389528,0.0009300357410048537,0.01586330153298261,0.03250136957912705,0.00030581466134614024,0.001786619331696742,0.06543610097117891,0.014538312062630544,0.008713787987506086,0.006263630479786542,0.020984640326751566,0.005340331896393789
Grecia,0.034015974785493494,0.04294129222437056,0.11128454133514434,0.22161595113320054,0.022717698563695755,0.09068968307243062,0.020576635075056218,0.014168096914351273,0.003510185575141638,0.004981056178118319,0.041619683060631664,0.043094972127426356
Ungaria,0.03639588679181276,0.0017005724326805787,0.016616787549168937,0.025955778653867896,0.18666879180317156,0.005021801364257799,0.018514500753996577,0.024719808403744863,0.010758316661548004,0.045863448987091174,0.08648599015009485,0.00011400903845387164
Irlanda,0.017592098625231,0.0004955113714944308,0.005938885830959204,0.005947620615387298,0.010978365545626721,0.07852523475850533,0.04019051562591571,0.04854239962250202,0.26980961359447264,0.004610472593639547,0.01703064770613418,0.009906900912244882
Italia,0.0063577849915653906,0.10990946313680089,0.028826737615070094,0.03591162719973612,0.010397910025308503,0.06521435594290613,0.004748709654030126,0.06939917460990565,0.010122300529092375,0.14700901813639772,0.005850268223380724,0.027764000429940174
Letonia,0.038339820902314324,0.25645514900867966,0.012026079826077361,0.030209932255672225,0.000937229391008536,0.08031524922203628,0.016794938743876987,0.01689797072469554,0.0013152826851209724,0.08688233007407696,0.004577253609239916,0.01130074255640937
Lituania,0.018637620510202228,0.29399495344443943,0.0009879619884329849,3.659646289420915e-05,0.006755304620842158,0.017352272639796214,0.016042511655468356,0.010304194278492591,0.004986700244052189,0.00906776623408474,0.0153359752791279,0.030713468087205785
Luxemburg,0.10474127730749123,2.7262835531845786e-05,0.008308086564830218,7.738693464017946e-08,0.002200384509327793,0.00015775283720544038,0.06544009031573783,0.16715228983586827,0.28792786699277423,0.0037802240067238333,0.01593845497113543,0.14858822749542014
Malta,0.009875918187777903,0.14895776443224573,0.0299686837300147,0.0879302888450588,0.022901013498836182,0.01001573344224368,0.17031233643091015,0.03788741822324164,0.0006217142952028101,0.018957790553337954,0.09253045185439315,0.04433815914945609
Olanda,0.07659956685559667,0.00010194568678734367,0.007123158177753029,0.0419174876092263,0.0066266948803539736,0.13024923534586055,0.01645878041516598,7.45564563161948e-05,0.2295361478956193,0.10924808032264402,0.004747679271860293,7.96661728637943e-10
Polonia,0.023399066391217024,0.0009121108933613394,0.04381804896543747,0.04563621264003741,0.000820059713631733,0.027419204572386686,0.009046079870265455,0.043562397283059676,0.00576381527609187,0.016059883081512117,0.027111793917719205,0.00046439298474583554
Portugalia,0.014491743168311397,0.0032911212909800995,0.06711477870465558,0.013204335171423782,0.14867335962485745,0.01330370724614972,0.10039658147250176,0.018285469718727784,0.04831872696955535,0.000579045046636616,0.014565702438985669,0.032191230694795285
Romania,0.1408891466195821,0.01728763433097759,0.012564342687276098,0.10984630118284179,0.030358438535810193,0.015600041226323203,0.01269168078792433,0.06530070233996539,0.00016169673527192168,2.230443360903663e-05,0.04899377275191656,0.016153756443353814
Slovacia,0.013817093294444764,0.005287531038765486,0.0966869952190145,0.058576320176605516,0.0033893794145108992,0.0367354391651054,0.0008041114538950643,0.03888734563623835,0.0024706232129026212,0.0008559671858930416,0.07491914513392947,0.001483087382125381
Slovenia,6.565635064639328e-06,0.0006691082355899376,0.000250440735163203,0.03650396320671346,0.1567605912366658,0.03228024520814216,0.014179239525030633,0.0017938685846957624,6.1426234131423655e-06,0.00025426325391592216,0.07961792209125673,0.01494584309994506
Spania,0.002386783077926148,0.039572693750679115,0.20563338234637674,0.0064949894074326315,0.09165218960120908,0.0006831572070860902,0.025590163309583153,0.13308590749998478,0.0002789190566211187,0.0915748183804454,0.0007401130519863911,0.03036392833177161
Suedia,0.054339333066745106,0.003641854607747953,0.0005879306729821967,0.002803288103668944,0.06157811841864994,0.02419551735873802,0.018057795632772926,9.387306480240316e-07,0.015123302332766582,0.023523387157725915,0.03659682478698383,0.09658230694921081
Marea Britanie,0.03355045036600693,7.779009871444866e-05,0.0004132143725081469,0.022346975482887138,0.001271950461372247,0.03123630837392565,0.05733857219198821,0.0001412397448569878,0.011909899051701272,0.07926018129887,0.006184662563085712,0.2609963891948551
