,0,1,2,3,4,5,6,7,8,9
RN,0.8529174820786972,-0.2845136682867433,-0.05095128836856258,0.1267089820825288,0.0,0.0,-0.0,-0.0,0.0,0.0
RF,0.7781105736458022,-0.33527801950301706,-0.13023050557254803,0.16662885963045085,0.0,0.0,-0.0,0.0,0.0,-0.0
RMN,-0.10221484463241545,-0.4860652271890934,0.2698534162214368,-0.2866169192933555,-0.0,-0.0,-0.0,0.0,0.0,0.0
RM,-0.7714787765189889,-0.18054342136540558,-0.031719772929249095,0.3041515490988785,-0.0,0.0,-0.0,-0.0,-0.0,0.0
RMI,-0.4872228761256716,-0.5107087764745079,0.052287506987133275,-0.19706877376823073,0.0,0.0,0.0,0.0,-0.0,0.0
RNUP,0.6283469621952985,-0.00015125005693337895,0.33240262877072835,0.17767983729695955,0.0,-0.0,0.0,0.0,-0.0,-0.0
RDIV,0.1290304866389355,-0.11214622778359559,0.49851084989619204,0.09304018470109575,-0.0,0.0,0.0,-0.0,-0.0,-0.0
RSN,0.8756893964904914,-0.00812479737474699,0.004745035825906251,-0.18492305172312917,0.0,-0.0,0.0,-0.0,-0.0,-0.0
VM,-0.12924121899130525,0.31911778098151267,0.3991566998081933,0.10025378910434148,0.0,0.0,-0.0,-0.0,0.0,-0.0
DV,0.4912816327838286,0.6101868803389355,-0.012647351706392336,-0.053545354100718784,-0.0,0.0,-0.0,0.0,-0.0,0.0
