,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
CIE,0.43051468839006335,-0.06350716773514924,0.11582230095588401,0.10149187508912008,-0.09282520185465643,-0.034756469108663826,0.008192246373783778,0.22242093442778196,0.20335201890424634,-0.2789770728908438,-0.3981435984805246,-0.6707065271786291
VNMA,0.4329749083413407,-0.07732183982404121,0.09993367916098524,0.108029475335432,-0.0668907761790052,-0.06870219947700322,0.08090227203302093,0.2045685351496103,0.1360759867578204,-0.32178039854473506,-0.2634865723107788,0.7320004438995601
PRS,-0.2932054620596085,0.09743667746952256,0.393570478438049,0.232804421066867,-0.39731905665849165,-0.03594198444332558,-0.13772515086112702,0.6339884900845558,0.16034479472253643,0.10210411460252886,0.2813089005498933,0.01033190325034248
PLI,-0.06309914189139325,0.12492870975767056,0.4697279578100423,0.23082134657673045,0.8186293779379765,0.00038644152248103317,0.0694246677285246,0.10808835330963255,0.04607185686751446,0.10893922304914502,-0.07641850500121126,0.0011067050196328166
RS,-0.1142917224894709,-0.12554247010024167,0.6009185543850697,-0.44061988634558996,-0.19713800628030115,0.4104932852264235,-0.18889567315689126,-0.22910905894402359,-0.07390142492091131,0.046588614894514595,-0.3307590544821633,0.057908189362531635
OLSM,-0.3555778613213057,-0.044396527688692344,0.02328092226982362,-0.3894491717954404,0.04196971862167501,-0.3083538797711073,0.33739612512471234,-0.0810925737127695,0.684121455756245,-0.18338121499484222,-0.02124723772944435,0.004761255264728949
SV,0.3035268396913717,-0.38995066075926826,0.32175258393029627,-0.07090848862138277,0.04547886811569119,-0.01302916217983438,0.08189297159871127,-0.17496781431125247,-0.051271340886000716,-0.31753274098592416,0.7046494995146245,-0.08781919050627057
PSS,0.2915774833921864,0.29655846212098036,0.2984642248804576,-0.10288072380075453,-0.23439170207028243,-0.4369472063248445,0.482110405252686,-0.13118753111971967,-0.21949584259052513,0.4277043128751329,-0.01572643807316623,-0.022597467782644733
RAD,-0.1694068074535587,-0.280306598635458,0.1537398974395577,0.6754492281792986,-0.211788379049374,-0.1409566075472461,-0.040039484609210176,-0.5280429676724744,0.19790872596355485,0.08533246691326062,-0.14468490822189503,0.017974796248210485
PAD,0.3953726278693092,0.08799370968207296,-0.10092617614998058,0.014297049116957372,-0.0009655036443103905,0.4546128491353812,-0.013584170089768841,-0.06208206948698601,0.5679082252522614,0.5038420750634711,0.19314293400029542,0.0339679827135088
RC,-0.11522258245044921,0.5655955548723796,0.046784788192552995,0.2169620163313022,-0.12797640532125196,0.45408768530784716,0.4116748893513562,-0.17738268314290231,-0.025061325259718686,-0.4298221669963605,0.08889073495067908,-0.027801920282279576
OG,-0.14933277545789467,-0.5485742132738716,-0.10389794933390892,0.07493369409133178,-0.005172667905380869,0.3245971560762964,0.6400634195502174,0.2720608361512089,-0.1602865083467634,0.17576521760666636,-0.11962985467870049,-0.01927132249160891
