,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
RN,0.4286059368986105,0.2732499420645934,-0.08056225591547636,0.2513025464900521,0.17520938801944405,0.1545691650853518,0.17612966577368597,-0.002765563172692779,-0.027702357716081982,-0.7652460313473123
RF,0.38661257637150553,0.2978884553034975,-0.16758130965966858,0.32386284716621866,0.16909037182618114,0.2163818069038887,0.3390327610530811,0.13805369039634646,-0.20509981051636753,0.6142816437839737
RMN,-0.08186758286438245,0.5240224716420323,0.24968118333154504,-0.4990511579314528,-0.008316651420743245,-0.40512244163023786,0.47712880541878366,0.12104966101841795,-0.017159306157892202,-0.022642393058274424
RM,-0.4061804790048047,0.04429863285517072,0.021386968210960415,0.5346795678178895,0.029273880026275234,-0.11318604425193363,0.3267319145350018,0.11952823248392112,0.641870541896333,-0.0029717663915316142
RMI,-0.2900654275002765,0.42845446714447044,0.01616871626421631,-0.19466346630543221,0.2998119418115799,0.5058880880990076,-0.39658809673913276,0.4107495447187556,0.14939972451040645,-0.00244582796498407
RNUP,0.3418699714135316,0.055308499539737835,0.36985098473885597,0.25720954733507945,0.13248766711077317,-0.5352099557286225,-0.47006856905128414,0.380335407771318,0.05428735619049864,0.06745452295891625
RDIV,0.07651896874468801,0.17672271681109034,0.6539640670185483,0.16044937476166415,-0.5928500338717514,0.3762162267678164,-0.013165726559333343,-0.12471318857008137,0.004212198881012191,0.027325000431721175
RSN,0.44901588801746795,0.09748976484127292,-0.04971779439442839,-0.2985146817422512,0.08650254824488676,0.04828321367705627,-0.13406610432027954,-0.4224966364569564,0.6800048499782747,0.16911510887285025
VM,-0.05202051618093586,-0.31620707454036273,0.5783231186648293,-0.02656076279362268,0.6692625903150299,0.15926952199153108,0.20433217732195172,-0.2014545702918912,-0.07706259309637073,0.02429870240464338
DV,0.2897467860722844,-0.48236984802873756,0.03128040831618019,-0.2782345778776044,-0.1596168508141433,0.20184860783931088,0.28545439806287903,0.6355962314483896,0.22637145616650253,-0.04518812764530232
