Indicativ,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
ab,-1.6161041480802263,-0.6134257877337917,-0.019183595478548233,-0.027366909163525945,-0.42715831536999294,0.14782500323821932,0.8726072753959161,-0.06455617225582452,0.44372343930635494,0.10327613777880527,-0.1690389393623114,0.21244282048956617,-0.18780331704346018,-0.14580875865674514
ar,-0.024776115719572334,0.8134059599174959,-0.6605873924449626,-1.0440473067375107,-0.1953091551009742,0.06732420047252455,-0.1981540045764026,1.0684691179532635,0.24386306588807946,-0.3376748246252053,0.28326943190327086,-0.025561555239416868,0.09822502635946698,-0.1054332854010342
ag,1.2369588432947283,3.186224908169407,-0.0738330474806292,-0.7228470217844533,-0.2971849854582856,0.3125471251541651,-0.06852950156733077,0.17807375262130776,0.9005052590243882,0.1106111845686067,-0.25789494451228906,-0.029350654585937202,0.368197113745296,-0.09933573868350841
bc,3.3121530353945614,1.646174728442212,1.8021050085638932,1.9144279300181894,-0.3322990243752426,0.3030677527440506,0.15414454292666135,0.2982124610203265,-0.5559221764141721,0.9131652498578253,0.00814624188877474,-0.37542086779594785,-0.1390320860601177,-0.20743896657214697
bh,1.0721966199917086,-1.499902001909859,-1.0963560509158228,0.3466886352019327,1.2315752070293817,0.17746816009704441,-1.098804583898309,1.1450492692490022,-0.2630926479547362,0.3269894104588307,-0.14668914638188882,0.7497221715071676,0.03282245174401726,0.1871122679906755
bn,-2.1247989744056133,-0.9833044890597583,1.6239579072764287,-0.4323142946195335,1.04929938509945,-0.032387771056245095,0.21392050174729818,-0.20988284766830306,0.7375140822876528,0.2851270743562133,-0.08150000636850595,0.40663842038978626,-0.07129907933852483,-0.08306078160712586
bt,-0.4434131739249503,1.5515351159973394,-0.06008901077361183,-0.3155833987756381,0.6313942169298514,-1.233825303274316,0.058466576508871985,-0.5239260334055333,-0.4150075637419001,-0.3257759951335812,0.23900418298404477,0.3210039246040157,-0.06180036301570432,0.07086895703964391
br,-1.1300869813311885,-0.3097271521325829,-0.5617514469390816,-0.10890278435682152,-0.1802486863602763,-0.14857091451562934,0.915825886945646,0.3582768139543718,-0.05815865296544397,-0.04674473455263056,-0.06844872419410099,0.40752070788992,-0.39323944791096366,-0.07336283518259187
bv,1.2365511328749668,-0.25137663038955277,0.04220255317530846,-1.2460289260607513,0.25109129340788905,0.7291612191068716,0.5907783858561894,-0.7322815052959123,0.6911173415719818,0.7210726502250424,-0.0475144027522648,-0.394610503448981,-0.11622717336728948,0.12106233207190527
bz,-0.4566289325479256,0.7176699361089267,-1.4071088126160542,-0.7277715349749097,-0.5548516420879159,-0.28741892286645626,-0.7967481045469446,0.20545255867319637,-0.41529710185900043,-0.11952552223368856,-0.633576724777671,0.11641541099237783,-0.5044428417357468,0.17193607878842804
