Indicativ,NumeJudet,Reg,MacroReg,AlteCauze,BoliApCirc,BoliApDig,BoliApGenitUrin,BoliApResp,BoliSistNerv,BoliEndocr,BoliInfect,TraumOtraviri,MalformCong,Nastere,TulbMentale,Tumori,PerPerinatala
ab,Alba,Centru,RO1,44,2619,184,52,268,79,51,91,133,8,1,4,858,6
ar,Arad,Vest,RO4,105,3587,316,133,451,108,132,54,181,8,0,8,1183,7
ag,Arges,Sud,RO3,78,4424,426,114,449,204,198,65,260,14,0,30,1374,10
bc,Bacau,Nord-Est,RO2,119,4763,780,132,388,125,76,223,429,15,1,35,1534,18
bh,Bihor,Nord-Vest,RO1,103,4340,386,247,440,47,5,25,251,9,1,0,1539,15
bn,Bistrita-Nasaud,Nord-Vest,RO1,41,2230,133,36,193,13,8,67,165,17,0,0,642,9
bt,Botosani,Nord-Est,RO2,38,3428,362,48,424,35,137,36,244,9,0,13,1081,19
br,Braila,Sud-Est,RO2,53,2720,220,90,335,54,79,91,129,6,1,4,979,10
bv,Brasov,Centru,RO1,91,3115,393,104,354,244,87,91,234,16,1,0,1586,14
bz,Buzau,Sud-Est,RO2,22,3896,408,137,457,125,112,35,169,3,0,6,1350,9
cl,Calarasi,Sud,RO3,36,2403,208,94,338,109,189,47,149,7,0,15,822,11
cs,Caras-Severin,Vest,RO4,99,2554,154,92,233,27,45,173,128,7,0,9,756,6
cj,Cluj,Nord-Vest,RO1,103,4534,408,107,448,135,15,126,249,19,0,5,1926,5
ct,Constanta,Sud-Est,RO2,101,4573,524,119,526,106,113,93,315,8,1,7,1747,23
cv,Covasna,Centru,RO1,42,1568,111,57,114,40,28,40,101,5,0,2,502,6
db,Dambovita,Sud,RO3,59,3819,353,107,330,115,213,26,197,8,0,5,1248,13
dj,Dolj,Sud-Vest,RO4,92,6276,527,92,505,107,28,71,311,11,0,15,1512,9
gl,Galati,Sud-Est,RO2,96,3833,648,158,471,123,103,54,352,12,0,0,1373,20
gr,Giurgiu,Sud,RO3,24,2827,247,22,173,62,27,53,151,4,1,5,716,6
gj,Gorj,Sud-Vest,RO4,29,2509,249,71,140,20,50,5,148,2,1,4,774,6
hr,Harghita,Centru,RO1,51,2053,171,65,233,25,12,69,198,7,0,5,702,6
hd,Hunedoara,Vest,RO4,12,3527,275,24,335,79,49,31,220,3,1,4,1238,8
il,Ialomita,Sud,RO3,68,2366,191,34,211,55,27,18,129,0,0,4,759,7
is,Iasi,Nord-Est,RO2,98,4443,558,122,631,249,66,305,514,16,0,7,2029,8
if,Ilfov,Bucuresti-Ilfov,RO3,35,2327,237,48,209,50,21,49,144,7,1,5,862,14
mm,Maramures,Nord-Vest,RO1,106,3163,453,85,377,60,63,57,201,15,0,8,1057,14
mh,Mehedinti,Sud-Vest,RO4,30,2446,203,77,196,12,3,21,137,2,0,4,637,2
b,Municipiul Bucuresti,Bucuresti-Ilfov,RO3,330,12420,1153,342,1046,331,112,301,626,24,5,4,5345,42
ms,Mures,Centru,RO1,112,3505,324,44,574,157,102,196,320,17,0,3,1615,13
nt,Neamt,Nord-Est,RO2,94,3808,498,119,489,50,96,73,294,6,2,9,1312,5
ot,Olt,Sud-Vest,RO4,32,4230,316,44,384,20,18,54,254,10,1,3,1065,8
ph,Prahova,Sud,RO3,90,5936,667,141,722,255,103,55,326,12,1,7,1994,18
sj,Salaj,Nord-Vest,RO1,50,1909,153,15,138,21,19,14,141,10,0,7,564,5
sm,Satu Mare,Nord-Vest,RO1,91,2454,277,67,258,42,11,32,197,12,0,9,952,9
sb,Sibiu,Centru,RO1,63,2565,180,48,352,109,47,55,185,6,1,1,965,8
sv,Suceava,Nord-Est,RO2,106,4856,317,109,319,61,20,147,377,18,0,2,1379,29
tr,Teleorman,Sud,RO3,31,4347,372,69,297,65,34,57,174,4,1,9,1007,4
tm,Timis,Vest,RO4,163,3982,354,267,614,430,25,63,269,6,2,9,1638,22
tl,Tulcea,Sud-Est,RO2,35,1637,195,36,168,43,36,63,153,1,0,4,648,5
vl,Valcea,Sud-Vest,RO4,20,2386,223,58,141,49,32,33,141,6,0,2,708,13
vs,Vaslui,Nord-Est,RO2,65,3063,460,28,502,62,20,110,261,4,1,7,1063,4
vn,Vrancea,Sud-Est,RO2,42,2850,384,66,285,89,120,40,210,8,0,64,784,19
